method_1,method_2,jaccard_similarity,overlap_count,overlap_features
mi_top20,shap_top20,0.25,8,"['intraday_range', 'roc_10', 'return_5d', 'cci', 'bb_BBB_5_2.0_2.0', 'high_low_pct', 'return_1d', 'atr_pct']"
mi_top20,rfe_top20,0.2903225806451613,9,"['intraday_range', 'return_5d', 'cci', 'bop', 'true_range', 'bb_BBB_5_2.0_2.0', 'high_low_pct', 'return_1d', 'atr_pct']"
shap_top20,rfe_top20,0.6666666666666666,16,"['intraday_range', 'return_5d', 'ad', 'cci', 'gap', 'aroon_AROOND_14', 'volume_ratio', 'bear_power', 'rsi_14', 'bb_BBB_5_2.0_2.0']"
