model,description,n_params,train_time,n_samples,accuracy,zero_rule,lift,f1_macro,mcc
small_no_attention,"Small LSTM (h=32, L=1, no attention)",9092,123.86540174484253,70337,0.4452706257019776,0.3976427769168432,0.04762784878513443,0.35291335727089373,0.15383023776988455
small_with_attention,"Small Attention LSTM (h=32, L=1, heads=2)",13380,165.14107155799866,70337,0.43918563487211565,0.3976427769168432,0.04154285795527246,0.3786963660433025,0.13266287110185565
current_model,"Current Attention LSTM (h=64, L=1, heads=4)",47236,131.79818439483643,70337,0.4394131111648208,0.3976427769168432,0.0417703342479776,0.37135539613479707,0.13383527590050073
