mse,mae,r2,ic,ic_pvalue,directional_accuracy,n_samples,ticker,error
1.2416093349456787,0.8009058833122253,-0.008581995964050293,0.025826407052436443,0.6079159884079849,0.5566750629722922,397.0,MSFT,
1.3497514724731445,0.8180277347564697,-0.034424781799316406,-0.0036237595887229452,0.9426214329697857,0.5642317380352645,397.0,AAPL,
1.4946030378341675,0.8162459135055542,-0.003588438034057617,-0.09091676227101464,0.0703670207442611,0.5793450881612091,397.0,JPM,
1.3892651796340942,0.814912736415863,-0.00459742546081543,-0.1098797935943361,0.028591878523254483,0.5239294710327456,397.0,JNJ,
1.0815341472625732,0.8042023181915283,-0.0027076005935668945,-0.08028790239112057,0.11020768858769035,0.5113350125944585,397.0,XOM,
1.5583837032318115,0.8159776329994202,-0.004123687744140625,-0.00016042736392189976,0.9974576141956091,0.5843828715365239,397.0,WMT,
1.4599179029464722,0.7834586501121521,-0.0004642009735107422,-0.01286947923141401,0.798240724413543,0.5163727959697733,397.0,DIS,
1.3616145849227905,0.8280876278877258,-0.0027129650115966797,0.018783521454306108,0.7090652175318488,0.49622166246851385,397.0,BA,
1.2750850915908813,0.826021671295166,-0.004336714744567871,-0.051847370135324616,0.3027812906951022,0.5440806045340051,397.0,KO,
1.1596741676330566,0.7960839867591858,0.00170975923538208,0.05750337827600717,0.2530053803144869,0.5667506297229219,397.0,NVDA,
1.3054091930389404,0.836348295211792,-0.03633308410644531,-0.011815815203028348,0.8144460168983214,0.5869017632241813,397.0,SPY,
,,,,,,,SPX,Not found
