scenario,accuracy,high_confidence_accuracy,high_confidence_ratio,train_samples,test_samples,num_features,Down_accuracy,Down_count,Neutral_accuracy,Neutral_count,Up_accuracy,Up_count,feature_columns
No Sentiment (Price Only),0.4278917633065715,0.44,0.007433838834374071,15693,3363,22,0.0009066183136899365,1103,0.3733055265901981,959,0.830130668716372,1301,"['open', 'high', 'low', 'close', 'volume', 'rsi_14', 'macd', 'macd_signal', 'macd_hist', 'bb_upper', 'bb_middle', 'bb_lower', 'bb_width', 'sma_5', 'sma_20', 'sma_50', 'ema_12', 'ema_26', 'atr_14', 'mfi_14', 'obv', 'sentiment_mean']"
Twitter Sentiment Only,0.4374070770145703,0.3333333333333333,0.0008920606601248885,15693,3363,22,0.0,1103,0.4932221063607925,959,0.7671022290545734,1301,"['open', 'high', 'low', 'close', 'volume', 'rsi_14', 'macd', 'macd_signal', 'macd_hist', 'bb_upper', 'bb_middle', 'bb_lower', 'bb_width', 'sma_5', 'sma_20', 'sma_50', 'ema_12', 'ema_26', 'atr_14', 'mfi_14', 'obv', 'sentiment_mean']"
