accuracy,zero_rule,lift,f1_macro,f1_weighted,mcc,n_samples,ticker
0.372,0.368,0.0040000000000000036,0.24504347380030267,0.27052799507553416,0.010037806928868033,250,MSFT
0.384,0.384,0.0,0.18497109826589594,0.21308670520231213,0.0,250,AAPL
0.376,0.384,-0.008000000000000007,0.28731000353481795,0.3211469777306469,0.006188686219587364,250,JPM
0.42,0.512,-0.09200000000000003,0.2788208396147278,0.36492429293020295,-0.018662865861634854,250,JNJ
0.312,0.348,-0.035999999999999976,0.231570315703157,0.23662287822878228,-0.053926161101219686,250,XOM
0.448,0.4,0.04799999999999999,0.3193571340939762,0.3686615139246718,0.11695864418148787,250,WMT
0.376,0.356,0.020000000000000018,0.2964781520614002,0.3112821849200939,0.0492820642702,250,DIS
0.38,0.412,-0.03199999999999997,0.19588102303235833,0.22886265366680797,-0.03652938024717242,250,BA
0.508,0.54,-0.03200000000000003,0.29879494655004857,0.41628781341107873,0.04810521496196054,250,KO
0.436,0.484,-0.04799999999999999,0.29737222136262825,0.3953931610707102,-0.0172760400211575,250,NVDA
