Strategy,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Daily Win Rate,Total Turnover,Total Tx Cost (%)
Buy_Hold_Universe,0.3530446758505099,0.21296767462173993,0.1346445028565733,1.581703449479838,2.5303652241920487,-0.13930495526990294,0.5240506329113924,0.5,0.00025
Daily_Rebalanced_Universe,0.3385608433930929,0.20466040603485758,0.13498707369369947,1.5161481794860934,2.449612301398027,-0.14332075822161713,0.5164556962025316,3.0214572100511026,0.0015107286050255514
Random_Allocation (n=3),0.020079546592600472,0.012775663683993299,0.31676949464871984,0.04033110479328452,0.06475322688928298,-0.28759296010594393,0.4962025316455696,385.6311684655376,0.19281558423276882
Regression_Long_Top_Pct (long_pct=0.1),0.2075312509965035,0.12796629889026168,0.20236505437050897,0.632353739573874,1.0064003165522,-0.16072669943785156,0.529113924050633,221.0789921517436,0.1105394960758718
Regression_Long_Top_Pct (long_pct=0.2),0.055082023788745715,0.03483091303379027,0.15102344931404543,0.23063248251840143,0.33866311703374347,-0.13066434051547007,0.5063291139240507,179.4519564852406,0.0897259782426203
Regression_Long_Top_Pct (long_pct=0.3),0.10751923509237904,0.06738344296755905,0.13677173487079966,0.49267082143260293,0.7462765504512687,-0.14852425508182826,0.5139240506329114,146.5650572329995,0.07328252861649975
"Regression_Long_Short (long_pct=0.2, short_pct=0.2)",-0.22316860167817998,-0.14892413569793006,0.08081216702736704,-1.8428429922872491,-2.4883662179799506,-0.2543523920007219,0.4430379746835443,171.73039337440682,0.08586519668720341
"Regression_Long_Short (long_pct=0.1, short_pct=0.1)",-0.15024012907877016,-0.09873568821839263,0.13227160610947875,-0.7464617019670188,-0.8999224613273038,-0.25044018371236265,0.5063291139240507,209.31090206786632,0.10465545103393316
Regression_Quantile_Spread,-0.22316860167817998,-0.14892413569793006,0.08081216702736704,-1.8428429922872491,-2.4883662179799506,-0.2543523920007219,0.4430379746835443,171.73039337440682,0.08586519668720341
Regression_Threshold_Long (threshold=0.0),0.27098429294822735,0.16546330706417578,0.13496552148348012,1.225967234042278,1.9571595693053179,-0.145187773457661,0.5189873417721519,38.82445493401953,0.019412227467009765
Regression_Threshold_Long (threshold=0.005),0.27005061723082213,0.16491653495301262,0.13479120325317837,1.2234962740354045,1.9596747417002238,-0.14551318126510793,0.5189873417721519,44.77427553363443,0.022387137766817215
