ticker,variant,accuracy,error,high_conf_accuracy,high_conf_ratio,train_samples,test_samples,num_features
WMT,baseline,0.0,'SentimentAggregator' object has no attribute '_aggregate_time_weighted',,,,,
WMT,event_features,0.26706231454005935,,0.14516129032258066,0.18397626112759644,1569.0,337.0,31.0
WMT,curriculum,0.0,'SentimentAggregator' object has no attribute '_aggregate_time_weighted',,,,,
WMT,attention,0.0,'SentimentAggregator' object has no attribute '_aggregate_time_weighted',,,,,
WMT,combined,0.27002967359050445,,0.2631578947368421,0.7893175074183977,1569.0,337.0,31.0
DIS,baseline,0.0,'SentimentAggregator' object has no attribute '_aggregate_time_weighted',,,,,
DIS,event_features,0.3768545994065282,,0.34591194968553457,0.47181008902077154,1569.0,337.0,31.0
DIS,curriculum,0.0,'SentimentAggregator' object has no attribute '_aggregate_time_weighted',,,,,
DIS,attention,0.0,'SentimentAggregator' object has no attribute '_aggregate_time_weighted',,,,,
DIS,combined,0.32047477744807124,,0.32558139534883723,0.3827893175074184,1569.0,337.0,31.0
MSFT,baseline,0.0,'SentimentAggregator' object has no attribute '_aggregate_time_weighted',,,,,
MSFT,event_features,0.32344213649851633,,0.39285714285714285,0.0830860534124629,1569.0,337.0,31.0
MSFT,curriculum,0.0,'SentimentAggregator' object has no attribute '_aggregate_time_weighted',,,,,
MSFT,attention,0.0,'SentimentAggregator' object has no attribute '_aggregate_time_weighted',,,,,
MSFT,combined,0.4035608308605341,,0.5,0.19584569732937684,1569.0,337.0,31.0
