experiment,model,n_features,n_params,samples_per_param,total_samples,test_accuracy,class_0_acc,class_1_acc,class_2_acc,confusion_matrix,best_val_loss,epochs_trained,selected_features
full_indicators,attention_lstm,73,314884,1.3098442601084843,515562,0.481040401885292,0.4401070850454489,0.515083667216592,0.4853425471036009,"[[7069, 5688, 3305], [3667, 8742, 4563], [3108, 6425, 8990]]",0.9987515819129141,71,
rf_selected_12,attention_lstm,12,283652,1.4540669552832344,515562,0.4544484745039471,0.3762905834058963,0.5794585050029429,0.4075396181513332,"[[6050, 6565, 3463], [3246, 9845, 3899], [3254, 7700, 7535]]",1.0295571327875395,83,"['atr_pct', 'intraday_range', 'atr', 'true_range', 'ichimoku_ICS_26', 'bb_BBB_5_2.0_2.0', 'gap', 'return_5d', 'cci', 'return_10d', 'bear_power', 'roc_10']"
