feature,importance
atr_pct,0.06263503923361567
intraday_range,0.03512994856764037
atr,0.029481319876272227
true_range,0.025392879194168893
ichimoku_ICS_26,0.023353418513178757
bb_BBB_5_2.0_2.0,0.021655190170766288
gap,0.019182458327338458
return_5d,0.016624833435400926
cci,0.015913729621826564
return_10d,0.01586315539450829
bear_power,0.015762880579210742
roc_10,0.014717820778371074
trix_TRIXs_30_9,0.014623843245837409
log_return,0.014575896273259663
adx_DMN_14,0.014525276428918496
pvo_PVOh_12_26_9,0.01448303136966827
mstd_20,0.014466857755435538
volume_ratio,0.014358082781163108
rsi_14,0.014328951541195328
trix_TRIX_30_9,0.014224137726483519
bb_BBP_5_2.0_2.0,0.013798929651643175
high_low_pct,0.013445440797254538
return_1d,0.01337740860923565
obv,0.01335057128992189
psl,0.013242018934675888
pvo_PVO_12_26_9,0.013035517333407676
aroon_AROONU_14,0.013007457116539802
stoch_STOCHk_14_3_3,0.013001111156033647
adx_DMP_14,0.012947971504391946
stoch_STOCHh_14_3_3,0.012919596071808476
pvo_PVOs_12_26_9,0.012897704246862006
mfi,0.012806798241751785
aroon_AROOND_14,0.01279388307466349
chop,0.012542508894591308
stochrsi_STOCHRSId_14_14_3_3,0.012539921634271138
kst_KSTs_9,0.012527553510363179
rvgi,0.012298527540068525
aroon_AROONOSC_14,0.01205138311547192
stochrsi_STOCHRSIk_14_14_3_3,0.011995052376832613
kst_KST_10_15_20_30_10_10_10_15,0.011957159893210225
macd_MACDh_12_26_9,0.011902627341109272
macd_MACDs_12_26_9,0.011869624759061044
adx_ADX_14,0.01185229832483108
bull_power,0.011790652995968954
ppo_PPOs_12_26_9,0.01178347680574934
rsi_7,0.01166753604942659
stoch_STOCHd_14_3_3,0.011645295322365697
ppo_PPOh_12_26_9,0.01161725219582303
adx_ADXR_14_2,0.011522077482949332
bop,0.011518338946810182
willr,0.011489518523419458
macd_MACD_12_26_9,0.01142533397082261
coppock,0.011233131241185731
roc_20,0.011157982700220342
ao,0.010958969946239407
return_20d,0.010940385053664703
ppo_PPO_12_26_9,0.010796791401624982
ichimoku_ISA_9,0.010643184323354054
ichimoku_ISB_26,0.009823362929571837
sma_50,0.009210359276130467
ema_26,0.008994763635027318
bb_BBL_5_2.0_2.0,0.008918446791791036
ichimoku_IKS_26,0.008644549811530719
ema_5,0.0084437249789545
sma_5,0.008410922033882978
kama,0.00837942155358511
ema_12,0.008172102936843248
bb_BBU_5_2.0_2.0,0.008130187823367229
vwma_20,0.008067822173204607
bb_BBM_5_2.0_2.0,0.0080137116140416
sma_20,0.007873834949626499
ichimoku_ITS_9,0.007864971764890136
sma_10,0.0074020745356684695
