description,n_features,n_params,train_samples,test_samples,samples_per_param,epochs_trained,accuracy,zero_rule_baseline,accuracy_lift,f1_macro,f1_weighted,mcc,method,top_k,selected_features
baseline_all,108,69764,717955,184923,10.291196032337595,23,0.41649226975551984,0.3733391736019857,0.04315309615353413,0.39224800658924597,0.39415828990286433,0.11729313979122455,baseline,108,
mi_top30,30,49796,717955,184923,14.417925134548959,26,0.4164706391308815,0.3733391736019857,0.043131465528895796,0.38971031825829505,0.3919118717165322,0.11677479404444478,mutual_info,30,"['atr_pct', 'intraday_range', 'donchian_DCL_20_20', 'donchian_DCU_20_20', 'ichimoku_ISB_26', 'bb_BBB_5_2.0_2.0', 'cci', 'ichimoku_IKS_26', 'true_range', 'donchian_DCM_20_20']"
shap_top30,30,49796,717955,184923,14.417925134548959,22,0.41766032348599147,0.3733391736019857,0.04432114988400576,0.3850016180985632,0.38725652572876934,0.12079636477445656,shap,30,"['atr_pct', 'intraday_range', 'gap', 'bb_BBB_5_2.0_2.0', 'volume_ratio', 'high_low_pct', 'cci', 'aroon_AROOND_14', 'adx_DMN_14', 'rsi_7']"
rfe_top30,30,49796,717955,184923,14.417925134548959,24,0.41883919252878227,0.3733391736019857,0.04550001892679656,0.38043595451253615,0.38340866470794677,0.12110201118335072,rfe,30,"['rsi_14', 'rsi_7', 'stoch_STOCHh_14_3_3', 'cci', 'roc_10', 'roc_20', 'ppo_PPOh_12_26_9', 'trix_TRIX_30_9', 'trix_TRIXs_30_9', 'aroon_AROOND_14']"
