mse,mae,r2,ic,ic_pvalue,directional_accuracy,n_samples,ticker
1.2306721210479736,0.798988938331604,-0.0005894899368286133,0.0404336390754628,0.4217303804732997,0.5591939546599496,397,MSFT
1.3030307292938232,0.8077037930488586,-7.534027099609375e-05,0.02161502114035562,0.6676551384768707,0.5656565656565656,397,AAPL
1.492350459098816,0.8156971335411072,-0.0014538764953613281,0.02658855685955923,0.5973631946703596,0.5818639798488665,397,JPM
1.3830803632736206,0.8138789534568787,-0.002514481544494629,-0.06130626416564926,0.22291491109211878,0.5239294710327456,397,JNJ
1.0803407430648804,0.8049830794334412,-0.0017489194869995117,-0.05423116144760723,0.281063000619624,0.5113924050632911,397,XOM
1.5608009099960327,0.8176993131637573,-0.007614850997924805,-0.0413314780782912,0.4114878583045286,0.5858585858585859,397,WMT
1.4578405618667603,0.7795780897140503,-0.0004932880401611328,0.05686724149471251,0.25830184456165,0.5152284263959391,397,DIS
1.3608745336532593,0.8260276913642883,-0.0056122541427612305,-0.017932000280771847,0.7216948303764363,0.5,397,BA
1.2735902070999146,0.8256852626800537,-0.0026559829711914062,-0.023718068921294744,0.6375298144692476,0.5396419437340153,397,KO
1.1660531759262085,0.7972091436386108,-0.002610921859741211,0.010039511349588182,0.8419419432338291,0.553030303030303,397,NVDA
