ticker,variant,accuracy,train_samples,val_samples,test_samples,num_features
WMT,baseline,0.2222222222222222,1129,242,243,29
WMT,attention,0.2839506172839506,1129,242,243,29
DIS,baseline,0.33035714285714285,1041,223,224,29
DIS,attention,0.29464285714285715,1041,223,224,29
MSFT,baseline,0.3090909090909091,511,110,110,29
MSFT,attention,0.3181818181818182,511,110,110,29
