fold,val_start,val_end,train_samples,val_samples,train_time,accuracy,zero_rule,lift,mcc,f1_macro
1,2019-01-01,2019-04-01,5181,183,0.5441622734069824,0.3333333333333333,0.3989071038251366,-0.0655737704918033,-0.034518869134469034,0.2864724241663399
2,2019-04-01,2020-01-01,5364,636,0.23579883575439453,0.4009433962264151,0.3836477987421384,0.017295597484276726,0.03926325720548502,0.3145323367399922
