description,n_features,n_params,train_samples,test_samples,samples_per_param,epochs_trained,accuracy,zero_rule_baseline,accuracy_lift,f1_macro,f1_weighted,mcc,method,top_k,selected_features
baseline_all,108,69764,78523,19233,1.1255518605584542,20,0.4070607809494099,0.40466905838922684,0.0023917225601830516,0.3052558066799627,0.32574556337286165,0.05519080519987708,baseline,108,
mi_top30,30,49796,78523,19233,1.5768937264037273,22,0.4100244371652888,0.40466905838922684,0.005355378776061959,0.27884446358021137,0.29729800870514533,0.06700479729957469,mutual_info,30,"['atr_pct', 'donchian_DCL_20_20', 'intraday_range', 'ichimoku_ISB_26', 'donchian_DCU_20_20', 'ichimoku_IKS_26', 'bb_BBB_5_2.0_2.0', 'cci', 'donchian_DCM_20_20', 'ad']"
shap_top30,30,49796,78523,19233,1.5768937264037273,22,0.41267612956897,0.40466905838922684,0.008007071179743142,0.3038198310619846,0.32105017120158413,0.07361309335318941,shap,30,"['atr_pct', 'intraday_range', 'gap', 'ad', 'high_low_pct', 'rsi_7', 'volume_ratio', 'roc_10', 'obv', 'bb_BBB_5_2.0_2.0']"
rfe_top30,30,49796,78523,19233,1.5768937264037273,19,0.4082046482608018,0.40466905838922684,0.003535589871574929,0.31828596558638117,0.33885920955334375,0.05654889310876086,rfe,30,"['ichimoku_ISB_26', 'rsi_14', 'rsi_7', 'stoch_STOCHh_14_3_3', 'stochrsi_STOCHRSId_14_14_3_3', 'smi_SMIo_5_20_5_1.0', 'cci', 'roc_10', 'ppo_PPO_12_26_9', 'ppo_PPOh_12_26_9']"
