method_1,method_2,jaccard_similarity,overlap_count,overlap_features
mi_top30,shap_top30,0.25,12,"['trix_TRIXs_30_9', 'obv', 'bb_BBB_5_2.0_2.0', 'rsi_14', 'ppo_PPOh_12_26_9', 'ad', 'return_5d', 'atr_pct', 'coppock', 'gap']"
mi_top30,rfe_top30,0.25,12,"['obv', 'bb_BBB_5_2.0_2.0', 'rsi_14', 'ichimoku_ISB_26', 'ppo_PPOh_12_26_9', 'ad', 'cci', 'atr_pct', 'gap', 'true_range']"
shap_top30,rfe_top30,0.5384615384615384,21,"['high_low_pct', 'pvo_PVOh_12_26_9', 'rsi_7', 'bop', 'stochrsi_STOCHRSId_14_14_3_3', 'bb_BBB_5_2.0_2.0', 'bb_BBP_5_2.0_2.0', 'ppo_PPOh_12_26_9', 'roc_10', 'return_1d']"
