fold,val_start,val_end,train_samples,val_samples,train_time,mse,mae,r2,ic,directional_accuracy
1,2017-01-01,2017-04-01,112356,5766,247.8413383960724,1.3620370626449585,0.782742977142334,-0.0011975765228271484,0.032096734469488825,0.5283383049657835
2,2017-04-01,2017-07-01,118122,5859,69.30467486381531,1.4010590314865112,0.8208295106887817,0.0013147592544555664,0.05747249127553679,0.5342654928361816
3,2017-07-01,2017-10-01,123981,5859,47.074933767318726,1.3366400003433228,0.7836143374443054,-0.00012290477752685547,0.005467576371889524,0.5357883817427386
4,2017-10-01,2018-01-01,129840,5859,62.00966286659241,1.4556012153625488,0.7953792214393616,-0.0010492801666259766,0.02151066455519035,0.5355540214014498
5,2018-01-01,2018-04-01,135699,5673,79.63804769515991,1.5766385793685913,0.894305944442749,-0.0018156766891479492,0.043248535236119295,0.5181365576102418
6,2018-04-01,2018-07-01,141372,5952,126.47550654411316,1.214931607246399,0.7696045637130737,0.0007905960083007812,0.034613649621063676,0.5317527519051651
7,2018-07-01,2018-10-01,147324,5859,118.89052057266235,1.3245412111282349,0.7927829027175903,0.0009350776672363281,0.03704518583002885,0.5487152957406449
8,2018-10-01,2019-01-01,153183,5859,49.058563470840454,1.609594702720642,0.9028152823448181,-0.021001219749450684,0.004179414038459352,0.4749054657958061
9,2019-01-01,2019-04-01,159042,5673,65.01881909370422,1.1855236291885376,0.7425749897956848,-0.0017540454864501953,0.04587040226286175,0.5732597471960121
10,2019-04-01,2019-07-01,164715,5859,55.21005296707153,1.338660717010498,0.8038280010223389,0.0004181861877441406,0.02693967832156125,0.5427637239717776
11,2019-07-01,2019-10-01,170574,5952,77.33489274978638,1.3313416242599487,0.8145806193351746,-0.0041037797927856445,0.03558068659152764,0.5228658536585366
12,2019-10-01,2020-01-01,176526,5828,66.68330669403076,1.241135835647583,0.773673951625824,-0.001276254653930664,0.0435158214648302,0.5488630446103107
