mse,mae,r2,ic,ic_pvalue,directional_accuracy,n_samples,ticker
2.033893585205078,1.091035008430481,-0.6536431312561035,-0.003960724161222877,0.9372964293903698,0.5591939546599496,397,MSFT
2.0704801082611084,1.1088420152664185,-0.5890921354293823,0.03582027379857842,0.476655614812017,0.5656565656565656,397,AAPL
1.6778318881988525,0.896422266960144,-0.12592267990112305,-0.10675678215518476,0.03346272434046431,0.5793450881612091,397,JPM
1.6404212713241577,0.9270586967468262,-0.18904602527618408,-0.020527413803618506,0.6834505289855404,0.5188916876574308,397,JNJ
1.3379651308059692,0.9133548140525818,-0.24063193798065186,-0.0413849858302747,0.41088212279048597,0.5113924050632911,397,XOM
1.9255834817886353,0.9934355616569519,-0.24310970306396484,0.07350948667031289,0.14373397913001495,0.4292929292929293,397,WMT
1.6381968259811401,0.8828915357589722,-0.12426900863647461,-0.028431990582634823,0.5721885096479488,0.4949238578680203,397,DIS
1.492734670639038,0.8952455520629883,-0.103049635887146,-0.06920393126613143,0.16876558673473216,0.4722222222222222,397,BA
1.2904366254806519,0.8304034471511841,-0.015918731689453125,0.06033565045619375,0.23034071173871054,0.49872122762148335,397,KO
1.3537957668304443,0.8892232775688171,-0.16403818130493164,0.04231996064526884,0.4003831079494734,0.553030303030303,397,NVDA
