Date,IC,N_Stocks,Quantile_Spread,Top_Q_Return,Bottom_Q_Return,Raw_Spread,Raw_Top_Q,Raw_Bottom_Q,IC_Rolling_20,Spread_Rolling_20,Cumulative_Spread
2023-05-31,0.709090909090909,10,0.5308292442621706,1.0963023621229293,0.5654731178607587,0.0053163427498729154,0.014390999537989169,0.009074656788116253,,,0.0053163427498730265
2023-06-01,-0.49090909090909085,10,-0.9875609879741389,0.5019045641754813,1.4894655521496203,-0.01856391908438404,0.006627099536542391,0.02519101862092643,,,-0.013346268491144508
2023-06-02,0.2121212121212121,10,0.5417090850880074,-0.23356677784816315,-0.7752758629361706,0.0063940210619439775,-0.0029803915945404436,-0.009374412656484421,,,-0.007037583751031251
2023-06-05,-0.1515151515151515,10,-0.12047215925492205,-0.38358545419671086,-0.2631132949417888,-0.0007587865021630447,-0.004393897448007111,-0.0036351109458440667,,,-0.00779103022963612
2023-06-06,-0.6,10,-2.5541301035453428,-1.6560525635437964,0.8980775400015463,-0.031238589375886583,-0.01931213262022008,0.011926456755666504,-0.06424242424242424,-0.0077701862301233545,-0.038786238811364004
2023-06-07,-0.18787878787878787,10,-0.9475693207688534,1.1282767731656986,2.075846093934552,-0.011174260826505189,0.010639364889105996,0.021813625715611185,-0.08484848484848484,-0.008337531996186994,-0.04952709208891193
2023-06-08,0.2121212121212121,10,0.01795522759077761,0.28617884965784257,0.26822362206706496,0.0022428353601906537,0.003431879822852868,0.0011890444626622143,-0.04242424242424243,-0.006826050945275901,-0.04739533784214567
2023-06-09,0.09090909090909088,10,0.37874360878767965,1.4427624562067232,1.0640188474190435,0.0024840083364193744,0.015561322399143762,0.013077314062724388,-0.025757575757575764,-0.005662293535063992,-0.045029059920033476
2023-06-12,-0.19999999999999998,10,-0.21094555007725546,0.1048788192334335,0.31582436931068897,0.0011398994146033514,0.0023705851282780355,0.001230685713674684,-0.045117845117845126,-0.004906494318434287,-0.04394048910447301
2023-06-13,-0.06666666666666665,10,0.37488621198664807,0.507182360892694,0.1322961489060459,0.009148356556518022,0.006307622296677029,-0.0028407342598409935,-0.04727272727272728,-0.0035010092309390563,-0.03519411580955045
2023-06-14,0.10303030303030303,10,0.9773765005640405,1.7169394037650765,0.739562903201036,0.013020349334889825,0.021547569554448254,0.008527220219558429,-0.03360881542699725,-0.0019990675431364306,-0.022632006157033424
2023-06-15,-0.2727272727272727,10,0.026202561838730043,-0.8445553147413201,-0.8707578765800501,-0.005565530873738567,-0.011217794796583747,-0.00565226392284518,-0.05353535353535354,-0.0022962728206866088,-0.028071577901770395
2023-06-16,0.2727272727272727,10,1.3853638956180376,-0.3524378923303025,-1.73780178794834,0.015715324612997128,-0.006007931325213711,-0.02172325593821084,-0.028438228438228443,-0.0009107653257878596,-0.012797407247898684
2023-06-20,-0.5272727272727272,10,-0.7971489266776921,-0.7099732791211117,0.08717564755658033,-0.00976897114019154,-0.009478665482478832,0.00029030565771270833,-0.06406926406926407,-0.0015434943125309797,-0.022441360886016226
2023-06-21,0.41818181818181815,10,1.779983279744319,1.4552824311464994,-0.32470084859781956,0.02855910615548707,0.017481222278393438,-0.01107788387709363,-0.031919191919191924,0.00046334571867022353,0.0054768400616536095
2023-06-22,-0.19999999999999998,10,-0.3569103916474301,-0.5112532619759528,-0.1543428703285227,-0.0063412015589680015,-0.007758466035452327,-0.0014172644764843256,-0.04242424242424243,3.806151381783446e-05,-0.0008990912440515197
2023-06-23,-0.43030303030303024,10,-0.26725986141799063,-0.4268334354472548,-0.1595735740292642,-0.007452186398210936,-0.00835705737301684,-0.0009048709748059047,-0.06524064171122994,-0.0004025413045367991,-0.008344577446722679
2023-06-26,0.41818181818181815,10,1.1545585396771618,1.4209631229510307,0.26640458327386884,0.00905555154544424,0.01661338302983173,0.007557831484387489,-0.03838383838383838,0.00012290829823992532,0.0006354093475278155
2023-06-27,-0.07878787878787878,10,-0.09520712513212237,0.47570411436265303,0.5709112394947754,-0.0007215476579697233,0.005076888246534184,0.005798435904503907,-0.040510366826156295,7.84632479131017e-05,-8.659678856848263e-05
2023-06-28,0.2606060606060606,10,0.3758376272626304,0.02508648686480071,-0.35075114039782973,0.0004531098821476398,-0.0002929686413954413,-0.0007460785235430811,-0.025454545454545452,9.719557962482861e-05,0.00036647385571852986
2023-06-29,0.3939393939393939,10,0.6064647826141039,1.843876612697461,1.2374118300833572,0.011927327540590671,0.019744288063782478,0.007816960523191807,-0.04121212121212121,0.0004277448191607164,0.012298172450021516
2023-06-30,-0.6727272727272726,10,-1.0268874588297388,-0.6520240019865149,0.3748634568432239,-0.010312942657811186,-0.007636540470929876,0.0026764021868813104,-0.050303030303030294,0.000840293640489359,0.0018583994449372643
2023-07-03,-0.19999999999999998,10,-0.5899937392461498,-0.2845738056340999,0.30541993361205,-0.008080086844888867,-0.0026988517194047046,0.005381235125484163,-0.0709090909090909,0.00011658824514771681,-0.0062367034288592915
2023-07-05,0.41818181818181815,10,0.9279755019669539,0.4249534936103767,-0.5030220083565772,0.010647222287467117,0.005867510489461214,-0.004779711798005903,-0.04242424242424241,0.0006868886846292249,0.0043441152908598735
2023-07-06,0.11515151515151514,10,0.8128734406471375,-0.6858108501165988,-1.4986842907637363,0.003864137443912563,-0.008879306891145189,-0.012743444335057752,-0.006666666666666664,0.002442025025619182,0.008225038993328493
2023-07-07,-0.35757575757575755,10,-1.7833567487989748,-1.138224586730832,0.6451321620681427,-0.02080006704871651,-0.013419677410384634,0.0073803896383318746,-0.015151515151515148,0.0019607347145086163,-0.012746109417927531
2023-07-10,-0.28484848484848485,10,-0.9397636047989122,-0.08028204182250653,0.8594815629764057,-0.012472998492655762,-0.0004405992137925807,0.012032399278863182,-0.04,0.0012249430218662955,-0.025060125707026204
2023-07-11,0.8060606060606059,10,1.074054655955797,0.9523804621742042,-0.12167419378159283,0.014116457425011053,0.011606101842467353,-0.0025103555825436996,-0.004242424242424247,0.0018065654762958795,-0.011297428479623894
2023-07-12,0.38181818181818183,10,1.1291578619358638,0.7761191782635346,-0.35303868367232927,0.013658302181186077,0.010124795581486934,-0.0035335065996991433,0.024848484848484842,0.0024324856146250157,0.0022065700095170726
