Strategy,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Daily Win Rate,Total Turnover,Total Tx Cost (%)
Buy_Hold_Universe,0.549711161079828,0.3208411541332199,0.1288271906816309,2.4904769904213064,3.597047748106201,-0.10285915871078513,0.5743073047858942,0.5,0.00025
Daily_Rebalanced_Universe,0.47552581841262764,0.28031830245713096,0.10679476591308242,2.6248318450856947,3.6820156550206136,-0.09887499753619235,0.5919395465994962,2.44990839816543,0.001224954199082715
Random_Allocation (n=3),0.08918077849614492,0.05576326113059493,0.14635267028045515,0.38101977246971974,0.5579458702827875,-0.17877080175682056,0.5264483627204031,276.97240858394093,0.13848620429197048
Regression_Long_Top_Pct (long_pct=0.1),0.4776199812703703,0.28147226472659037,0.19396151603476353,1.45117583364394,1.949557181848321,-0.12098114828353651,0.5642317380352645,55.513874891613085,0.027756937445806543
Regression_Long_Top_Pct (long_pct=0.2),0.3844041143280148,0.22951162391392166,0.1786658312094342,1.284585991402494,1.8325709555855052,-0.1270961230495131,0.5667506297229219,9.480788506194358,0.004740394253097179
Regression_Long_Top_Pct (long_pct=0.3),0.46347229031429027,0.2736647020764382,0.1620340100612041,1.6889337119600296,2.6440084151604277,-0.08535264786856057,0.5440806045340051,40.25861698470585,0.020129308492352928
"Regression_Long_Short (long_pct=0.2, short_pct=0.2)",-0.06115556991778737,-0.039292901317824036,0.11485293471892691,-0.34211490907031095,-0.4900661180583959,-0.09582512767706855,0.5214105793450882,13.59103123026951,0.006795515615134755
"Regression_Long_Short (long_pct=0.1, short_pct=0.1)",-0.1503766550374922,-0.09833875796682756,0.134972159954561,-0.7285854949638041,-1.1252897399119524,-0.24514942890066502,0.48614609571788414,46.806232195182105,0.02340311609759105
Regression_Quantile_Spread,-0.06115556991778737,-0.039292901317824036,0.11485293471892691,-0.34211490907031095,-0.4900661180583959,-0.09582512767706855,0.5214105793450882,13.59103123026951,0.006795515615134755
Regression_Threshold_Long (threshold=0.0),0.5045953295291978,0.2962837742804165,0.11756263727047742,2.5202205493123957,3.5953184552616513,-0.09613788217209862,0.5869017632241813,12.296045984843701,0.006148022992421851
Regression_Threshold_Long (threshold=0.005),0.49667157499905157,0.29194315468027976,0.11768405744411559,2.4807366521919443,3.540607508536631,-0.09707702748563753,0.5843828715365239,12.040829715803039,0.00602041485790152
