Date,Ticker,Trade_Weight,Direction
2023-05-31,MBB,0.2,Buy
2023-05-31,PFIS,0.2,Buy
2023-05-31,DHIL,0.2,Buy
2023-05-31,ALGT,0.2,Buy
2023-05-31,CRUS,0.2,Buy
2023-06-01,AADR,0.2,Buy
2023-06-01,ALGT,-0.1992095766201421,Sell
2023-06-01,MBB,-0.20006137714535613,Sell
2023-06-01,MCRI,0.2,Buy
2023-06-01,QABA,0.2,Buy
2023-06-01,PFIS,-0.19485748851656104,Sell
2023-06-01,DHIL,-0.20397770978992094,Sell
2023-06-01,CYBR,0.2,Buy
2023-06-01,EA,0.2,Buy
2023-06-01,CRUS,-0.20214347443355501,Sell
2023-06-02,AADR,-0.19977163013845076,Sell
2023-06-02,NDAQ,0.2,Buy
2023-06-02,BPOP,0.2,Buy
2023-06-02,VGLT,0.2,Buy
2023-06-02,MCRI,-0.20519708953631952,Sell
2023-06-02,QABA,-0.20817111272875083,Sell
2023-06-02,FOXA,0.2,Buy
2023-06-02,CYBR,-0.19181426360764028,Sell
2023-06-02,IPAR,0.2,Buy
2023-06-02,EA,-0.19553487876513562,Sell
2023-06-05,ASO,0.2,Buy
2023-06-05,NDAQ,-0.20085640019011958,Sell
2023-06-05,BPOP,-0.1968921766109562,Sell
2023-06-05,VGLT,-0.20168002575811156,Sell
2023-06-05,ORLY,0.2,Buy
2023-06-05,FROG,0.2,Buy
2023-06-05,WLFC,0.2,Buy
2023-06-05,FOXA,-0.20399575557993244,Sell
2023-06-05,BBH,0.2,Buy
2023-06-05,IPAR,-0.19708068498155223,Sell
2023-06-06,ASO,-0.20033230059561213,Sell
2023-06-06,BLTE,0.2,Buy
2023-06-06,UFO,0.2,Buy
2023-06-06,MDLZ,0.2,Buy
2023-06-06,ORLY,-0.1931961561969116,Sell
2023-06-06,FROG,-0.2107646412902004,Sell
2023-06-06,WLFC,-0.20008326022777123,Sell
2023-06-06,PSCT,0.2,Buy
