Date,Ticker,Trade_Weight,Direction
2023-05-31,FGM,0.2,Buy
2023-05-31,CVCO,0.2,Buy
2023-05-31,BLTE,0.2,Buy
2023-05-31,TQQQ,0.2,Buy
2023-05-31,ZION,0.2,Buy
2023-06-01,XMTR,0.2,Buy
2023-06-01,FGM,-0.19984036322797655,Sell
2023-06-01,CVCO,-0.2016849041341638,Sell
2023-06-01,BLTE,-0.20048534729285955,Sell
2023-06-01,SQQQ,0.2,Buy
2023-06-01,WGS,0.2,Buy
2023-06-01,TQQQ,-0.0012852072551349514,Sell
2023-06-01,ZION,0.003053019086834724,Buy
2023-06-02,XMTR,-0.20766095819524985,Sell
2023-06-02,SQQQ,0.004799038141870493,Buy
2023-06-02,WGS,0.01616502720114102,Buy
2023-06-02,TQQQ,-0.003998600406987657,Sell
2023-06-02,SYNA,0.2,Buy
2023-06-02,ZION,-0.009605356312576419,Sell
2023-06-05,BLTE,0.2,Buy
2023-06-05,SQQQ,-0.20128599400881306,Sell
2023-06-05,WGS,-0.004470872178936519,Sell
2023-06-05,TQQQ,-0.0020952414681366105,Sell
2023-06-05,SYNA,0.006969733034220743,Buy
2023-06-05,ZION,0.0007709013832642164,Buy
2023-06-06,BLTE,0.010105856086169707,Buy
2023-06-06,COIN,0.2,Buy
2023-06-06,BLBD,0.2,Buy
2023-06-06,WGS,-0.011615224203279512,Sell
2023-06-06,TQQQ,0.00528687522717694,Buy
2023-06-06,SYNA,-0.19945243330738016,Sell
2023-06-06,ZION,-0.20442633528469673,Sell
2023-06-07,INTU,0.2,Buy
2023-06-07,BABX,0.2,Buy
2023-06-07,BLTE,-0.20479028654618467,Sell
2023-06-07,COIN,-0.21064006215377643,Sell
2023-06-07,BLBD,0.01303655015455732,Buy
2023-06-07,WGS,-0.004114421309053179,Sell
2023-06-07,TQQQ,0.006296224900875946,Buy
2023-06-08,INTU,-0.19820737430380286,Sell
2023-06-08,BABX,-0.20104615143024518,Sell
2023-06-08,BLTE,0.2,Buy
2023-06-08,KYMR,0.2,Buy
2023-06-08,SQQQ,0.2,Buy
2023-06-08,BLBD,-0.2098321411295885,Sell
2023-06-08,WGS,0.013401068023594448,Buy
2023-06-08,TQQQ,-0.0045227498465034155,Sell
2023-06-09,BLTE,-0.20602451999094226,Sell
2023-06-09,NUTX,0.2,Buy
2023-06-09,KYMR,-0.19740519103614282,Sell
2023-06-09,SQQQ,-0.20047965915917615,Sell
2023-06-09,BLBD,0.2,Buy
2023-06-09,WGS,0.008937162133887872,Buy
2023-06-09,PSIX,0.2,Buy
2023-06-09,TQQQ,-0.005338948959304313,Sell
2023-06-12,BABX,0.2,Buy
2023-06-12,NUTX,0.008272829570776158,Buy
2023-06-12,COIN,0.2,Buy
2023-06-12,SQQQ,0.2,Buy
2023-06-12,BLBD,-0.1978784060039168,Sell
2023-06-12,WGS,-0.2093300571259255,Sell
2023-06-12,PSIX,-0.19568483681283377,Sell
