Date,Ticker,Trade_Weight,Direction
2023-06-30,ROOT,1.0,Buy
2023-07-03,ROOT,-1.0002217753551501,Sell
2023-08-04,FTNT,1.0,Buy
2023-08-07,FTNT,-1.0002460310523826,Sell
2023-09-19,FCAP,1.0,Buy
2023-09-20,FCAP,-1.00025250412496,Sell
2023-10-19,SMTC,1.0,Buy
2023-10-20,SMTC,-1.000242326745685,Sell
2023-10-23,RVMD,1.0,Buy
2023-10-24,RVMD,-1.0002183516530319,Sell
2023-10-26,ALGN,1.0,Buy
2023-10-27,ALGN,-1.0002495647221303,Sell
2023-10-30,SMTC,1.0,Buy
2023-10-31,SMTC,-1.0002452248687557,Sell
2023-10-31,WGS,1.0,Buy
2023-11-01,WGS,-1.0004949864004664,Sell
2023-11-10,WGS,1.0,Buy
2023-11-13,WGS,-1.0002561139588466,Sell
2024-01-18,HUT,0.5,Buy
2024-01-18,IREN,0.5,Buy
2024-01-19,ASTS,1.0,Buy
2024-01-19,HUT,-0.49321923367832804,Sell
2024-01-19,IREN,-0.5070348705883067,Sell
2024-01-22,ASTS,-1.0004986989961304,Sell
2024-01-22,HUT,1.0,Buy
2024-01-23,HUT,-0.0005312200781015797,Sell
2024-01-24,HUT,-1.0000001323867538,Sell
2024-02-23,AAOI,1.0,Buy
2024-02-26,AAOI,-1.0002402138337412,Sell
2024-03-19,SPRB,1.0,Buy
2024-03-20,SPRB,-1.000251405470704,Sell
2024-06-28,KRUS,1.0,Buy
2024-07-01,KRUS,-1.0002612023088246,Sell
2024-07-10,KRUS,1.0,Buy
2024-07-11,KRUS,-1.000222973569401,Sell
2024-07-30,NVDL,0.5,Buy
2024-07-30,SYM,0.5,Buy
2024-07-31,NVDL,-0.5616343344313242,Sell
2024-07-31,SYM,-0.43858855886347453,Sell
2024-08-01,ARM,1.0,Buy
2024-08-02,FORM,0.25,Buy
2024-08-02,CHPS,0.25,Buy
2024-08-02,ARM,-1.0002678328553911,Sell
2024-08-02,AMBA,0.25,Buy
2024-08-02,INTC,0.25,Buy
2024-08-05,BITS,0.2,Buy
2024-08-05,TARK,0.2,Buy
2024-08-05,NVDL,0.2,Buy
2024-08-05,GGLL,0.2,Buy
2024-08-05,FORM,-0.26026778798790745,Sell
2024-08-05,CHPS,-0.2533941665550512,Sell
2024-08-05,NVDU,0.2,Buy
2024-08-05,AMBA,-0.24525387209263577,Sell
2024-08-05,INTC,-0.2416003614109467,Sell
2024-08-06,BITS,-0.20242660813689517,Sell
2024-08-06,TARK,-0.19744338690251195,Sell
2024-08-06,NVDL,-0.20525823916001878,Sell
2024-08-06,GGLL,-0.18979900995247764,Sell
2024-08-06,NVDU,-0.20555321701058343,Sell
2024-08-08,ROOT,1.0,Buy
2024-08-09,ROOT,-1.00023298666203,Sell
2024-09-03,NVDL,0.5,Buy
2024-09-03,NVDU,0.5,Buy
2024-09-04,NVDL,-0.5003054602541055,Sell
2024-09-04,NVDU,-0.4999535619906211,Sell
2024-09-06,NVDL,1.0,Buy
2024-09-09,NVDL,-1.000233800264931,Sell
2024-10-29,TMDX,1.0,Buy
2024-10-30,TMDX,-1.0002701535356646,Sell
2024-11-27,SYM,1.0,Buy
2024-11-29,SYM,-1.0002230516106243,Sell
2024-12-03,TMDX,1.0,Buy
2024-12-04,TMDX,-1.0002473953651603,Sell
2024-12-11,ANAB,1.0,Buy
2024-12-12,ANAB,-1.0002582224498389,Sell
2024-12-19,CTAS,1.0,Buy
2024-12-20,CTAS,-1.000244509836802,Sell
