fold,val_start,val_end,train_samples,val_samples,train_time,accuracy,zero_rule,lift,mcc,f1_macro
1,2017-01-01,2017-04-01,109332,5580,74.89876341819763,0.45,0.3913978494623656,0.0586021505376344,0.15334124640914684,0.4167204301060185
2,2017-04-01,2017-07-01,114912,5670,185.05142736434937,0.43756613756613755,0.40282186948853616,0.03474426807760139,0.12364224796541061,0.3655953643630923
3,2017-07-01,2017-10-01,120582,5670,106.37138843536377,0.44656084656084655,0.40476190476190477,0.04179894179894178,0.13018591946544514,0.372175894934341
4,2017-10-01,2018-01-01,126252,5670,51.248164892196655,0.4472663139329806,0.4104056437389771,0.03686067019400352,0.13285501993053261,0.38788117238254216
5,2018-01-01,2018-04-01,131922,5490,44.067835092544556,0.39398907103825137,0.37777777777777777,0.016211293260473603,0.08124048684909152,0.3344015117714981
6,2018-04-01,2018-07-01,137412,5760,52.11280918121338,0.40642361111111114,0.3640625,0.04236111111111113,0.1023925233122393,0.34538190797191265
7,2018-07-01,2018-10-01,143172,5670,70.17002725601196,0.4202821869488536,0.35908289241622576,0.061199294532627846,0.11269838713726096,0.36846039946901293
8,2018-10-01,2019-01-01,148842,5670,43.686060667037964,0.3657848324514991,0.4142857142857143,-0.04850088183421519,0.058432472938302414,0.2971083630571248
9,2019-01-01,2019-04-01,154512,5490,52.045515298843384,0.4158469945355191,0.39672131147540984,0.019125683060109255,0.09942761628082182,0.38667182354937085
10,2019-04-01,2019-07-01,160002,5670,42.24156856536865,0.41164021164021164,0.3700176366843034,0.041622574955908265,0.10664185585493727,0.36421665340148496
11,2019-07-01,2019-10-01,165672,5767,61.07137870788574,0.4165077163169759,0.3773192301023062,0.03918848621466969,0.11656785789655597,0.38749723818294673
12,2019-10-01,2020-01-01,171439,5642,59.024595737457275,0.4314073023750443,0.3621056362991847,0.06930166607585964,0.13004153359975196,0.38913517921432456
