accuracy,zero_rule,lift,f1_macro,f1_weighted,mcc,n_samples,ticker
0.3803297328027288,0.39511085844229676,-0.01478112563956796,0.29092248791650227,0.3137835747423738,0.013089266131063551,1759,MSFT
0.3450824332006822,0.3979533826037521,-0.05287094940306991,0.2575007547316807,0.27242068700699346,0.003108164192770236,1759,AAPL
0.39454235361000567,0.3632745878339966,0.03126776577600909,0.3350877482661601,0.3414587327965236,0.0865035996288808,1759,JPM
0.4007959067652075,0.4394542353610006,-0.0386583285957931,0.29630379580806654,0.3383672360307645,0.025323083919535996,1759,JNJ
0.3706651506537806,0.37748720864127344,-0.006822057987492858,0.29152681686051674,0.29093646833723175,0.04036543285235152,1759,XOM
0.4081864695849915,0.39681637293917,0.011370096645821504,0.3482699641134714,0.37155390187189863,0.0705187319281211,1759,WMT
0.3746446844798181,0.3547470153496305,0.01989766913018759,0.32141190984782103,0.3150739796827265,0.07904661034874513,1759,DIS
0.3848777714610574,0.39909039226833426,-0.014212620807276866,0.30438407257267935,0.3288700791592743,0.01924929781173234,1759,BA
0.4343376918703809,0.4434337691870381,-0.00909607731665718,0.32598434655347835,0.37399123561809483,0.09626510495337877,1759,KO
0.38942581011938604,0.45821489482660605,-0.06878908470722,0.187632747593938,0.21937716375200816,-0.0025633279199076373,1759,NVDA
