description,n_features,n_params,train_samples,test_samples,samples_per_param,epochs_trained,accuracy,zero_rule_baseline,accuracy_lift,f1_macro,f1_weighted,mcc,method,top_k,selected_features
baseline_all,108,69764,78523,19233,1.1255518605584542,23,0.409712473353091,0.40466905838922684,0.005043414963864179,0.30039886734174315,0.3204442154213533,0.061702058938363294,baseline,108,
mi_top30,30,49796,78523,19233,1.5768937264037273,13,0.40856860604169914,0.40466905838922684,0.0038995476524723016,0.28703092902028876,0.3107787338996112,0.05250332192588424,mutual_info,30,"['atr_pct', 'donchian_DCL_20_20', 'intraday_range', 'ichimoku_ISB_26', 'donchian_DCU_20_20', 'ichimoku_IKS_26', 'bb_BBB_5_2.0_2.0', 'donchian_DCM_20_20', 'cci', 'ad']"
rfe_top30,30,49796,78523,19233,1.5768937264037273,11,0.40950449747829254,0.40466905838922684,0.004835439089065696,0.27499256910789316,0.295552405563075,0.06110349780073299,rfe,30,"['rsi_14', 'rsi_7', 'stoch_STOCHh_14_3_3', 'stochrsi_STOCHRSId_14_14_3_3', 'roc_10', 'roc_20', 'ppo_PPOh_12_26_9', 'trix_TRIXs_30_9', 'aroon_AROONOSC_14', 'coppock']"
