accuracy,zero_rule,lift,f1_macro,f1_weighted,mcc,n_samples,ticker
0.3702770780856423,0.3778337531486146,-0.007556675062972307,0.2397671984611903,0.2647969923783433,-0.006448856459719712,397,MSFT
0.37279596977329976,0.37279596977329976,0.0,0.18103975535168196,0.20247267349155362,0.0,397,AAPL
0.3501259445843829,0.3879093198992443,-0.03778337531486142,0.2617448176477109,0.2994319719143996,-0.05544192220292632,397,JPM
0.4105793450881612,0.49622166246851385,-0.08564231738035266,0.28818027210884356,0.3544446871947771,0.009518809949078378,397,JNJ
0.3350125944584383,0.3350125944584383,0.0,0.2557675520638483,0.2551233013029822,0.004860573373830177,397,XOM
0.42065491183879095,0.42317380352644834,-0.0025188916876573986,0.21817733838430506,0.27267636721963745,0.001709904611263764,397,WMT
0.3602015113350126,0.35516372795969775,0.005037783375314853,0.2686155688465157,0.2766486494388019,0.025603043430380307,397,DIS
0.38287153652392947,0.3904282115869018,-0.007556675062972307,0.2982171642888049,0.3149602612454592,0.02191024264291795,397,BA
0.4256926952141058,0.5138539042821159,-0.08816120906801006,0.30561771763957557,0.37843335817486207,0.05633521106926574,397,KO
0.47103274559193953,0.47103274559193953,0.0,0.2134703196347032,0.3016545322797695,0.0,397,NVDA
