feature,rf_importance,mi_score,combined_score
atr_pct,0.026036872847016935,0.03428726802997195,0.9146689396943924
bb_BBB_5_2.0_2.0,0.023602640897265693,0.039548112051400075,0.9068549276004259
stoch_STOCHh_14_3_3,0.016115063904588084,0.04358519526535365,0.7713594322816493
atr,0.01735108743613905,0.029644245602845842,0.6719005934847918
volume_ratio,0.018484957912119213,0.026462403415222102,0.6688286510376578
ema_26,0.010181320495193302,0.04178393090039334,0.6180898385831171
true_range,0.018731036511925026,0.020252510634096943,0.6175085008747656
rsi_14,0.014261091626164292,0.027507394055408474,0.5810831805202474
obv,0.013262577403922662,0.02844944452010356,0.566718777574682
bb_BBU_5_2.0_2.0,0.010408900295195884,0.03198944100509804,0.5334460150450133
intraday_range,0.020092927216465897,0.00750687088735047,0.5319200465777894
stoch_STOCHk_14_3_3,0.014375074235680458,0.021430847445355505,0.5279427532914052
stochrsi_STOCHRSIk_14_14_3_3,0.012414157111657139,0.02570743349654303,0.5220029657768522
ichimoku_IKS_26,0.007099222957221565,0.03743340978855403,0.5071386418777821
ker,0.012750521726898468,0.023191748710971627,0.5066667169531897
bb_BBL_5_2.0_2.0,0.011597503888187855,0.02538260101780221,0.5002026844849601
ichimoku_ITS_9,0.0077580829147346556,0.03416815112164873,0.4923548933215386
sma_50,0.010214224756445416,0.027539042498249122,0.48811665215873645
ichimoku_ISB_26,0.006614356928215001,0.035587662023247146,0.479026054198601
vwma_20,0.010802302270146003,0.02414958233999287,0.47056192556847243
trix_TRIX_30_9,0.015384955391889216,0.012603306542139148,0.47020057648300817
high_low_pct,0.020305800499318467,0.0,0.4679317816381682
sma_10,0.008903413375783134,0.028306894319354292,0.4649569023644453
adx_DMP_14,0.015653072352263063,0.010802673695869291,0.4598539499965364
macd_MACDh_12_26_9,0.013687517452660346,0.014917836764545278,0.452325840631032
macd_MACDs_12_26_9,0.011079872402596874,0.021380288184810636,0.45154332067808456
rsi_7,0.014290474530350934,0.012553971388780116,0.4445263247688225
return_5d,0.01698787854583432,0.005620337741153669,0.44305303099729126
return_1d,0.016319899627338316,0.007248322346411928,0.4426006749043381
log_return,0.017293129541039277,0.003991189369273673,0.4351359166446037
pvo_PVO_12_26_9,0.014589692766778663,0.010191795052580499,0.42974287856916776
macd_MACD_12_26_9,0.011805358606182443,0.01706941512484228,0.42869887247086325
mfi,0.015048341757058263,0.007677777110830952,0.41723987782175087
aroon_AROONOSC_14,0.010251302829926479,0.019167530096192875,0.4121421344647309
bull_power,0.014310425428805021,0.008944383154873226,0.41185934134041646
pvo_PVOs_12_26_9,0.013505650375668926,0.010614638236515539,0.4086425562708772
gap,0.017720990059250662,0.0,0.4083667842149708
kama,0.008442801697173903,0.023191748710971627,0.4073985739230691
roc_10,0.01765779161441646,0.0,0.4069104239552991
adx_DMN_14,0.017655645873912926,0.0,0.4068609769917684
ema_5,0.008583809210278537,0.022503072164201887,0.4043277056408796
bop,0.01754254869014877,0.0,0.4042547381144191
bb_BBP_5_2.0_2.0,0.015511642030173231,0.004772135191712046,0.4012499614375307
trix_TRIXs_30_9,0.014992779217138987,0.005842660814598943,0.39911783320000394
pvo_PVOh_12_26_9,0.016963596647682246,0.0,0.39091322711496307
coppock,0.01244618807780623,0.010918159048173948,0.3870135910895256
willr,0.014515056186416566,0.005387456925316503,0.38393146704992726
bear_power,0.013311818000750071,0.007938947948505248,0.3796198806676685
adx_ADX_14,0.013846402184512736,0.006538570325127058,0.3790871029343511
mstd_20,0.014099765089579785,0.0054329487039033175,0.37477889602556896
ppo_PPO_12_26_9,0.014232516952726974,0.004383559106733159,0.3682073644353402
roc_20,0.013485271148492342,0.005772763183732099,0.36373697189330273
stoch_STOCHd_14_3_3,0.012160097603003794,0.008569249954717417,0.3588639084441886
return_20d,0.013185938496787659,0.005879203368460484,0.3578159249656151
chop,0.015449601019830205,0.0,0.3560243454105959
ema_12,0.010955488473844857,0.010536626301557384,0.3491600592195536
ichimoku_ICS_26,0.011105100335216129,0.009620236048334174,0.34419764543581144
ppo_PPOh_12_26_9,0.0149239124191213,0.0,0.34391025005519
adx_ADXR_14_2,0.014746051491118774,0.0,0.33981157977982535
rvgi,0.01467276480893958,0.0,0.3381227437369611
return_10d,0.014623107906296116,0.0,0.33697843805320493
sma_5,0.010818989499400154,0.00900823399917483,0.331987833233678
ppo_PPOs_12_26_9,0.012801464796606231,0.00318890726142973,0.3242660206641298
sma_20,0.008653181146572509,0.013506129930988653,0.3233575381835899
stochrsi_STOCHRSId_14_14_3_3,0.01402718405499127,0.0,0.32324582458292506
cci,0.013703689675117245,0.0,0.3157911417926816
ichimoku_ISA_9,0.010597623544325767,0.007795633170167626,0.3157580655699611
ao,0.01300897168216662,0.0012019294281384596,0.310812513208912
aroon_AROONU_14,0.007939897957442201,0.013459210253894405,0.30648986575956516
bb_BBM_5_2.0_2.0,0.009189542185368915,0.008850854843883038,0.29299411903433104
kst_KSTs_9,0.011980140575285314,0.0,0.2760732591584912
kst_KST_10_15_20_30_10_10_10_15,0.011471037614734093,0.0,0.2643413673093619
aroon_AROOND_14,0.006549159888366431,0.0,0.1509204256635629
psl,0.004857723326328085,0.0,0.11194255212298979
