fold,train_end,val_end,test_end,train_time,n_params,pooled_accuracy,pooled_zero_rule,pooled_lift,pooled_mcc,pooled_f1_macro,pooled_n_samples,per_stock_avg_accuracy,per_stock_avg_lift,per_stock_avg_mcc,per_stock_count
1,2015-01-01,2016-01-01,2017-01-01,58.089083433151245,47236,0.4369680407537813,0.356642784548049,0.08032525620573233,0.15273183288873696,0.42063875510737353,1271244,0.3914235190097259,-0.009593280282935462,0.06592920508822883,10
2,2016-01-01,2017-01-01,2018-01-01,81.34591221809387,47236,0.43635824285726393,0.35846576317729917,0.07789247967996477,0.15133471408651764,0.4309923810549785,1179870,0.3926865671641791,-0.007213930348258696,0.05726452656065652,10
3,2017-01-01,2018-01-01,2019-01-01,114.60119247436523,47236,0.4360330214272619,0.36421900954236286,0.07181401188489905,0.1590956449689624,0.38667974397504556,1080026,0.4015918135304151,-0.0009664582148948275,0.04747457206355886,10
4,2018-01-01,2019-01-01,2020-01-01,166.54308152198792,47236,0.438533111121195,0.36607559062913814,0.07245752049205684,0.15642568949584407,0.416230461379091,969644,0.40364721485411137,-0.0034482758620689668,0.05593866938246743,10
5,2019-01-01,2020-01-01,2021-01-01,203.87418222427368,47236,0.4350893820605621,0.3688466276415932,0.06624275441896887,0.14983760722023068,0.4237150940318244,837752,0.41098726114649675,0.003264331210191096,0.05010992280983369,10
6,2020-01-01,2021-01-01,2022-01-01,224.30452513694763,47236,0.43133460889009273,0.361702464859756,0.06963214403033674,0.16133635040299,0.370108051612096,694076,0.40847457627118644,0.00029910269192422455,0.04499099851376894,10
7,2021-01-01,2022-01-01,2023-01-01,292.29903292655945,47236,0.42814149898038045,0.3617181753000661,0.06642332368031434,0.151618375747271,0.38356457706568475,536965,0.40239680426098534,-0.005459387483355527,0.02543667999642364,10
8,2022-01-01,2023-01-01,2024-01-01,270.1142547130585,47236,0.432446549391069,0.3620730717185386,0.07037347767253044,0.14540774440915719,0.4157768943200863,369500,0.40659999999999996,-0.009999999999999998,0.01473724383120584,10
9,2023-01-01,2024-01-01,2025-01-01,324.36069917678833,47236,0.4398318002628121,0.3569250985545335,0.08290670170827857,0.16944672457782353,0.3835182106551509,190250,0.40120000000000006,-0.017599999999999998,0.010417796933091934,10
