metric,mean,std,min,max,n_folds
pooled_accuracy,0.43497069508271324,0.003489807503407805,0.42814149898038045,0.4398318002628121,9
pooled_lift,0.07311862997478687,0.005622047683976074,0.06624275441896887,0.08290670170827857,9
pooled_mcc,0.15524829819972594,0.006796936971369506,0.14540774440915719,0.16944672457782353,9
pooled_f1_macro,0.4034693521334812,0.020991089431632567,0.370108051612096,0.4309923810549785,9
per_stock_avg_accuracy,0.4021119729152334,0.0062005154563426566,0.3914235190097259,0.41098726114649675,9
per_stock_avg_lift,-0.005635322032155351,0.005975831027910629,-0.017599999999999998,0.003264331210191096,9
per_stock_avg_mcc,0.04136662390880396,0.018607087948659937,0.010417796933091934,0.06592920508822883,9
