description,n_features,n_params,train_samples,test_samples,samples_per_param,epochs_trained,accuracy,zero_rule_baseline,accuracy_lift,f1_macro,f1_weighted,mcc,method,top_k,selected_features
baseline_all,108,69764,1032729,277910,14.803179290178315,22,0.4276672303983304,0.36511820373502213,0.06254902666330825,0.40527395954075734,0.4062941888768477,0.13845703233319834,baseline,108,
mi_top30,30,49796,1032729,277910,20.73919591935095,29,0.42929725450685474,0.36511820373502213,0.06417905077183261,0.4021956126112633,0.4037815899255227,0.1407649242490213,mutual_info,30,"['atr_pct', 'intraday_range', 'donchian_DCL_20_20', 'donchian_DCU_20_20', 'bb_BBB_5_2.0_2.0', 'ichimoku_ISB_26', 'cci', 'true_range', 'ichimoku_IKS_26', 'donchian_DCM_20_20']"
shap_top30,30,49796,1032729,277910,20.73919591935095,21,0.4281314094491022,0.36511820373502213,0.06301320571408009,0.40501177887529954,0.40634468755077147,0.13813800746465482,shap,30,"['atr_pct', 'intraday_range', 'bb_BBB_5_2.0_2.0', 'gap', 'cci', 'high_low_pct', 'adx_DMN_14', 'volume_ratio', 'aroon_AROOND_14', 'adx_DMP_14']"
rfe_top30,30,49796,1032729,277910,20.73919591935095,23,0.4306034327660034,0.36511820373502213,0.06548522903098125,0.40031267109117846,0.40226278559269674,0.14282619495436505,rfe,30,"['sma_200', 'rsi_14', 'cci', 'roc_10', 'ppo_PPOh_12_26_9', 'trix_TRIX_30_9', 'trix_TRIXs_30_9', 'aroon_AROOND_14', 'aroon_AROONU_14', 'coppock']"
