Strategy,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Daily Win Rate,Total Turnover,Total Tx Cost (%)
Buy_Hold_Universe,0.23135888638697466,0.23294835169718486,0.16825314716875744,1.3845111108889887,1.7017757164860907,-0.1831727075811519,0.5943775100401606,0.5,0.00025
Daily_Rebalanced_Universe,0.25705122659248003,0.2588349741338458,0.17554773055847747,1.4744421549079734,1.8201368214854299,-0.1855094959893825,0.5903614457831325,1.7172997795562108,0.0008586498897781054
Random_Allocation (n=3),-0.022228857821849912,-0.022365087662409744,0.21864013389992976,-0.10229177627857705,-0.11605335991191863,-0.25297237964710934,0.5461847389558233,171.51950887747364,0.08575975443873682
Regression_Long_Top_Pct (long_pct=0.1),0.34712294621994944,0.3496132853147107,0.4756296020069532,0.7350536716795851,0.958203422308442,-0.4211126048382497,0.5341365461847389,41.510403379879904,0.020755201689939953
Regression_Long_Top_Pct (long_pct=0.2),0.3602298942655817,0.3628262520566523,0.32762978303706225,1.1074275625778764,1.5055085989625643,-0.31654592080777566,0.5301204819277109,50.421447950213604,0.0252107239751068
Regression_Long_Top_Pct (long_pct=0.3),0.20625713639752474,0.20766001828191172,0.27468754492168446,0.7559862910461309,1.023810325135695,-0.277690657690316,0.570281124497992,53.15278982713015,0.026576394913565074
"Regression_Long_Short (long_pct=0.2, short_pct=0.2)",-0.030710499905906796,-0.030897882801241172,0.1582549429931444,-0.19524118625842649,-0.2561690609869764,-0.20151183731308564,0.4779116465863454,75.94170312995202,0.03797085156497601
"Regression_Long_Short (long_pct=0.1, short_pct=0.1)",0.018287989727898024,0.018402381719789362,0.24498049339804454,0.07511774290489796,0.09704971090032141,-0.2852026816547241,0.5100401606425703,77.65984518106015,0.03882992259053007
Regression_Quantile_Spread,-0.030710499905906796,-0.030897882801241172,0.1582549429931444,-0.19524118625842649,-0.2561690609869764,-0.20151183731308564,0.4779116465863454,75.94170312995202,0.03797085156497601
Regression_Threshold_Long (threshold=0.0),0.2502374258869131,0.2519693260024962,0.184293195500558,1.3672199091134285,1.743512614159386,-0.19956985840514113,0.5903614457831325,9.925844373391794,0.004962922186695897
Regression_Threshold_Long (threshold=0.005),0.2522183293599589,0.25396527866758145,0.18492702118101573,1.373327040286815,1.734100320687978,-0.20139438471829965,0.5903614457831325,10.945337901865802,0.005472668950932901
