Strategy,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Daily Win Rate,Total Turnover,Total Tx Cost (%)
Buy_Hold_Universe,0.54140551721089,0.31634003115229303,0.12685693224740485,2.4936755567708797,3.590065310679161,-0.10257744130682105,0.5869017632241813,0.5,0.00025
Daily_Rebalanced_Universe,0.47427456875704177,0.2796285318501168,0.10674450590734566,2.6196058473757393,3.6593782806438,-0.0989343354770012,0.5994962216624685,2.319093657035165,0.0011595468285175825
Random_Allocation (n=3),0.22093218164387762,0.13518847841866588,0.16076620748476506,0.8409010857053213,1.20813851393166,-0.1879416726015484,0.5264483627204031,287.897791453001,0.1439488957265005
Regression_Long_Top_Pct (long_pct=0.1),2.1154292302060695,1.0582169330693625,0.46612379854554226,2.2702486686398404,3.616945813672944,-0.25910900427616473,0.5566750629722922,43.510842737551656,0.02175542136877583
Regression_Long_Top_Pct (long_pct=0.2),1.0921433777273135,0.5982520154835997,0.2818131382473917,2.122867724351517,3.350090082606805,-0.1929553728355226,0.5465994962216625,83.12782841882846,0.04156391420941423
Regression_Long_Top_Pct (long_pct=0.3),1.0033123615670592,0.554805268366193,0.2195633965863106,2.5268568303829206,4.026311837559672,-0.14950905247819388,0.5465994962216625,71.49079307745029,0.03574539653872515
"Regression_Long_Short (long_pct=0.2, short_pct=0.2)",0.0027894812577027306,0.001771026633832884,0.16081085768470377,0.011013103588473324,0.0178219461115113,-0.17831199373329984,0.5239294710327456,126.5453237284977,0.06327266186424886
"Regression_Long_Short (long_pct=0.1, short_pct=0.1)",0.16111573932323586,0.09953751998029481,0.2608682003862451,0.38156248953654825,0.5905468748379704,-0.1951063590353426,0.5138539042821159,119.34565766701414,0.05967282883350707
Regression_Quantile_Spread,0.0027894812577027306,0.001771026633832884,0.16081085768470377,0.011013103588473324,0.0178219461115113,-0.17831199373329984,0.5239294710327456,126.5453237284977,0.06327266186424886
Regression_Threshold_Long (threshold=0.0),0.4772333053755655,0.281259236738568,0.1088913254779785,2.582935192532376,3.6162225065053084,-0.10891836820125024,0.5969773299748111,14.13493849328362,0.00706746924664181
Regression_Threshold_Long (threshold=0.005),0.4742252499372024,0.27960133971895007,0.10898535358542939,2.5654946331828103,3.627125810427294,-0.10975529073657606,0.5969773299748111,16.51881561503269,0.008259407807516345
