Date,Ticker,Weight
2023-05-31,NVDA,1.0
2023-06-01,NVDA,1.0
2023-06-02,NVDA,1.0
2023-06-05,NVDA,1.0
2023-06-06,NVDA,1.0
2023-06-07,NVDA,1.0
2023-06-08,NVDA,1.0
2023-06-09,NVDA,1.0
2023-06-12,NVDA,1.0
2023-06-13,NVDA,1.0
2023-06-14,NVDA,1.0
2023-06-15,NVDA,1.0
2023-06-16,NVDA,1.0
2023-06-20,NVDA,1.0
2023-06-21,NVDA,1.0
2023-06-22,NVDA,1.0
2023-06-23,NVDA,1.0
2023-06-26,NVDA,1.0
2023-06-27,NVDA,1.0
2023-06-28,NVDA,1.0
2023-06-29,NVDA,1.0
2023-06-30,NVDA,1.0
2023-07-03,NVDA,1.0
2023-07-05,JNJ,1.0
2023-07-06,NVDA,1.0
2023-07-07,JNJ,1.0
2023-07-10,JNJ,1.0
2023-07-11,JNJ,1.0
2023-07-12,JNJ,1.0
2023-07-13,NVDA,1.0
2023-07-14,NVDA,1.0
2023-07-17,NVDA,1.0
2023-07-18,NVDA,1.0
2023-07-19,NVDA,1.0
2023-07-20,NVDA,1.0
2023-07-21,NVDA,1.0
2023-07-24,NVDA,1.0
2023-07-25,NVDA,1.0
2023-07-26,NVDA,1.0
2023-07-27,NVDA,1.0
2023-07-28,NVDA,1.0
2023-07-31,NVDA,1.0
2023-08-01,NVDA,1.0
2023-08-02,NVDA,1.0
2023-08-03,NVDA,1.0
2023-08-04,NVDA,1.0
2023-08-07,NVDA,1.0
2023-08-08,NVDA,1.0
2023-08-09,NVDA,1.0
2023-08-10,NVDA,1.0
2023-08-11,NVDA,1.0
2023-08-14,NVDA,1.0
2023-08-15,NVDA,1.0
2023-08-16,NVDA,1.0
2023-08-17,JPM,1.0
2023-08-18,NVDA,1.0
2023-08-21,NVDA,1.0
2023-08-22,NVDA,1.0
2023-08-23,JNJ,1.0
2023-08-24,NVDA,1.0
2023-08-25,NVDA,1.0
2023-08-28,NVDA,1.0
2023-08-29,NVDA,1.0
2023-08-30,NVDA,1.0
2023-08-31,NVDA,1.0
2023-09-01,NVDA,1.0
2023-09-05,NVDA,1.0
2023-09-06,NVDA,1.0
2023-09-07,NVDA,1.0
2023-09-08,NVDA,1.0
2023-09-11,NVDA,1.0
2023-09-12,NVDA,1.0
2023-09-13,NVDA,1.0
2023-09-14,NVDA,1.0
2023-09-15,NVDA,1.0
2023-09-18,NVDA,1.0
2023-09-19,NVDA,1.0
2023-09-20,NVDA,1.0
2023-09-21,NVDA,1.0
2023-09-22,NVDA,1.0
2023-09-25,NVDA,1.0
2023-09-26,NVDA,1.0
2023-09-27,NVDA,1.0
2023-09-28,NVDA,1.0
2023-09-29,NVDA,1.0
2023-10-02,NVDA,1.0
2023-10-03,WMT,1.0
2023-10-04,NVDA,1.0
2023-10-05,KO,1.0
2023-10-06,NVDA,1.0
2023-10-09,NVDA,1.0
2023-10-10,NVDA,1.0
2023-10-11,NVDA,1.0
2023-10-12,NVDA,1.0
2023-10-13,NVDA,1.0
2023-10-16,NVDA,1.0
2023-10-17,NVDA,1.0
2023-10-18,NVDA,1.0
2023-10-19,NVDA,1.0
2023-10-20,NVDA,1.0
2023-10-23,NVDA,1.0
2023-10-24,NVDA,1.0
2023-10-25,NVDA,1.0
2023-10-26,NVDA,1.0
2023-10-27,NVDA,1.0
2023-10-30,NVDA,1.0
2023-10-31,NVDA,1.0
2023-11-01,NVDA,1.0
2023-11-02,NVDA,1.0
2023-11-03,NVDA,1.0
2023-11-06,NVDA,1.0
2023-11-07,NVDA,1.0
2023-11-08,NVDA,1.0
2023-11-09,NVDA,1.0
2023-11-10,NVDA,1.0
2023-11-13,NVDA,1.0
2023-11-14,NVDA,1.0
2023-11-15,NVDA,1.0
2023-11-16,NVDA,1.0
2023-11-17,NVDA,1.0
2023-11-20,NVDA,1.0
2023-11-21,NVDA,1.0
2023-11-22,NVDA,1.0
2023-11-24,NVDA,1.0
2023-11-27,NVDA,1.0
2023-11-28,NVDA,1.0
2023-11-29,NVDA,1.0
2023-11-30,NVDA,1.0
2023-12-01,NVDA,1.0
2023-12-04,NVDA,1.0
2023-12-05,NVDA,1.0
2023-12-06,NVDA,1.0
2023-12-07,NVDA,1.0
2023-12-08,NVDA,1.0
2023-12-11,NVDA,1.0
2023-12-12,NVDA,1.0
2023-12-13,NVDA,1.0
2023-12-14,NVDA,1.0
2023-12-15,NVDA,1.0
2023-12-18,NVDA,1.0
2023-12-19,NVDA,1.0
2023-12-20,NVDA,1.0
2023-12-21,NVDA,1.0
2023-12-22,NVDA,1.0
2023-12-26,NVDA,1.0
2023-12-27,NVDA,1.0
2023-12-28,NVDA,1.0
2023-12-29,NVDA,1.0
2024-01-02,NVDA,1.0
2024-01-03,BA,1.0
2024-01-04,NVDA,1.0
2024-01-05,NVDA,1.0
2024-01-08,NVDA,1.0
2024-01-09,NVDA,1.0
2024-01-10,NVDA,1.0
2024-01-11,BA,1.0
2024-01-12,BA,1.0
2024-01-16,BA,1.0
2024-01-17,NVDA,1.0
2024-01-18,NVDA,1.0
2024-01-19,NVDA,1.0
2024-01-22,NVDA,1.0
2024-01-23,NVDA,1.0
2024-01-24,NVDA,1.0
2024-01-25,NVDA,1.0
2024-01-26,NVDA,1.0
2024-01-29,NVDA,1.0
2024-01-30,NVDA,1.0
2024-01-31,NVDA,1.0
2024-02-01,NVDA,1.0
2024-02-02,NVDA,1.0
2024-02-05,NVDA,1.0
2024-02-06,NVDA,1.0
2024-02-07,NVDA,1.0
2024-02-08,NVDA,1.0
2024-02-09,NVDA,1.0
2024-02-12,NVDA,1.0
2024-02-13,NVDA,1.0
2024-02-14,NVDA,1.0
2024-02-15,NVDA,1.0
2024-02-16,NVDA,1.0
2024-02-20,NVDA,1.0
2024-02-21,NVDA,1.0
2024-02-22,NVDA,1.0
2024-02-23,NVDA,1.0
2024-02-26,NVDA,1.0
2024-02-27,NVDA,1.0
2024-02-28,NVDA,1.0
2024-02-29,NVDA,1.0
2024-03-01,NVDA,1.0
2024-03-04,NVDA,1.0
2024-03-05,NVDA,1.0
2024-03-06,NVDA,1.0
2024-03-07,NVDA,1.0
2024-03-08,JPM,1.0
2024-03-11,NVDA,1.0
2024-03-12,NVDA,1.0
2024-03-13,NVDA,1.0
2024-03-14,NVDA,1.0
2024-03-15,NVDA,1.0
2024-03-18,JNJ,1.0
2024-03-19,NVDA,1.0
2024-03-20,NVDA,1.0
2024-03-21,NVDA,1.0
2024-03-22,NVDA,1.0
2024-03-25,JPM,1.0
2024-03-26,NVDA,1.0
2024-03-27,NVDA,1.0
2024-03-28,WMT,1.0
2024-04-01,WMT,1.0
2024-04-02,WMT,1.0
2024-04-03,NVDA,1.0
2024-04-04,JPM,1.0
2024-04-05,NVDA,1.0
2024-04-08,NVDA,1.0
2024-04-09,NVDA,1.0
2024-04-10,NVDA,1.0
2024-04-11,NVDA,1.0
2024-04-12,JPM,1.0
2024-04-15,JPM,1.0
2024-04-16,JPM,1.0
2024-04-17,JPM,1.0
2024-04-18,NVDA,1.0
2024-04-19,NVDA,1.0
2024-04-22,NVDA,1.0
2024-04-23,NVDA,1.0
2024-04-24,NVDA,1.0
2024-04-25,NVDA,1.0
2024-04-26,NVDA,1.0
2024-04-29,NVDA,1.0
2024-04-30,NVDA,1.0
2024-05-01,XOM,1.0
2024-05-02,NVDA,1.0
2024-05-03,NVDA,1.0
2024-05-06,NVDA,1.0
2024-05-07,NVDA,1.0
2024-05-08,NVDA,1.0
2024-05-09,NVDA,1.0
2024-05-10,NVDA,1.0
2024-05-13,NVDA,1.0
2024-05-14,NVDA,1.0
2024-05-15,NVDA,1.0
2024-05-16,NVDA,1.0
2024-05-17,NVDA,1.0
2024-05-20,NVDA,1.0
2024-05-21,NVDA,1.0
2024-05-22,NVDA,1.0
2024-05-23,NVDA,1.0
2024-05-24,NVDA,1.0
2024-05-28,NVDA,1.0
2024-05-29,NVDA,1.0
2024-05-30,NVDA,1.0
2024-05-31,NVDA,1.0
2024-06-03,NVDA,1.0
2024-06-04,NVDA,1.0
2024-06-05,NVDA,1.0
2024-06-06,NVDA,1.0
2024-06-07,NVDA,1.0
2024-06-10,NVDA,1.0
2024-06-11,NVDA,1.0
2024-06-12,JPM,1.0
2024-06-13,NVDA,1.0
2024-06-14,NVDA,1.0
2024-06-17,NVDA,1.0
2024-06-18,NVDA,1.0
2024-06-20,NVDA,1.0
2024-06-21,NVDA,1.0
2024-06-24,NVDA,1.0
2024-06-25,NVDA,1.0
2024-06-26,NVDA,1.0
2024-06-27,NVDA,1.0
2024-06-28,NVDA,1.0
2024-07-01,NVDA,1.0
2024-07-02,NVDA,1.0
2024-07-03,NVDA,1.0
2024-07-05,NVDA,1.0
2024-07-08,NVDA,1.0
2024-07-09,NVDA,1.0
2024-07-10,NVDA,1.0
2024-07-11,NVDA,1.0
2024-07-12,NVDA,1.0
2024-07-15,NVDA,1.0
2024-07-16,NVDA,1.0
2024-07-17,NVDA,1.0
2024-07-18,NVDA,1.0
2024-07-19,NVDA,1.0
2024-07-22,NVDA,1.0
2024-07-23,NVDA,1.0
2024-07-24,NVDA,1.0
2024-07-25,NVDA,1.0
2024-07-26,NVDA,1.0
2024-07-29,NVDA,1.0
2024-07-30,NVDA,1.0
2024-07-31,NVDA,1.0
2024-08-01,NVDA,1.0
2024-08-02,NVDA,1.0
2024-08-05,NVDA,1.0
2024-08-06,WMT,1.0
2024-08-07,WMT,1.0
2024-08-08,NVDA,1.0
2024-08-09,NVDA,1.0
2024-08-12,NVDA,1.0
2024-08-13,NVDA,1.0
2024-08-14,NVDA,1.0
2024-08-15,NVDA,1.0
2024-08-16,NVDA,1.0
2024-08-19,NVDA,1.0
2024-08-20,NVDA,1.0
2024-08-21,NVDA,1.0
2024-08-22,NVDA,1.0
2024-08-23,NVDA,1.0
2024-08-26,NVDA,1.0
2024-08-27,NVDA,1.0
2024-08-28,NVDA,1.0
2024-08-29,NVDA,1.0
2024-08-30,NVDA,1.0
2024-09-03,NVDA,1.0
2024-09-04,NVDA,1.0
2024-09-05,NVDA,1.0
2024-09-06,NVDA,1.0
2024-09-09,NVDA,1.0
2024-09-10,NVDA,1.0
2024-09-11,NVDA,1.0
2024-09-12,NVDA,1.0
2024-09-13,JPM,1.0
2024-09-16,NVDA,1.0
2024-09-17,WMT,1.0
2024-09-18,NVDA,1.0
2024-09-19,NVDA,1.0
2024-09-20,NVDA,1.0
2024-09-23,NVDA,1.0
2024-09-24,NVDA,1.0
2024-09-25,JNJ,1.0
