mse,mae,r2,ic,ic_pvalue,directional_accuracy,n_samples,ticker,error
1.2347533702850342,0.7992519736289978,-0.003907680511474609,0.016599676498667677,0.7416069857868283,0.5591939546599496,397.0,MSFT,
1.3040584325790405,0.8058222532272339,-0.0008639097213745117,-0.0023274912076603157,0.9631279137776274,0.5656565656565656,397.0,AAPL,
1.4929685592651367,0.81747967004776,-0.001868605613708496,0.04645723310518654,0.355885472152338,0.5894206549118388,397.0,JPM,
1.3859682083129883,0.8154779672622681,-0.004607677459716797,-0.027006007499057464,0.5916185309727966,0.5188916876574308,397.0,JNJ,
1.0823509693145752,0.8064450621604919,-0.0036128759384155273,-0.0887613670967546,0.0773171643771249,0.4962025316455696,397.0,XOM,
1.5720577239990234,0.8215605616569519,-0.014882087707519531,-0.04506215745269736,0.37053003338155854,0.5353535353535354,397.0,WMT,
1.4557081460952759,0.7794666290283203,0.0009701848030090332,0.07346168829523622,0.14399536793856624,0.5126903553299492,397.0,DIS,
1.3648231029510498,0.8282496333122253,-0.008530020713806152,-0.07432922896495403,0.13930737853835526,0.5075757575757576,397.0,BA,
1.2735342979431152,0.8264549374580383,-0.0026121139526367188,-0.019635075577692958,0.6965142856583479,0.5421994884910486,397.0,KO,
1.1641943454742432,0.7969152927398682,-0.0010126829147338867,0.03099958996570518,0.5379850230583858,0.553030303030303,397.0,NVDA,
1.2572180032730103,0.8179416656494141,0.0004432201385498047,0.0043122643213779,0.9317440695730028,0.5883838383838383,397.0,SPY,
,,,,,,,SPX,Not found
