Strategy,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Daily Win Rate,Total Turnover,Total Tx Cost (%)
Buy_Hold_Universe,0.6126233780585921,0.35465448756043627,0.16460135261662584,2.154626811521194,3.3815328628904417,-0.1281620137100249,0.5717884130982368,0.5,0.00025
Daily_Rebalanced_Universe,0.5814047427995894,0.33793679848112546,0.15233585790232582,2.218366726879253,3.459299442097088,-0.12664613959951504,0.5541561712846348,3.1037811963534434,0.0015518905981767217
Random_Allocation (n=3),0.5150228818168809,0.3019832845074264,0.27531361602125143,1.0968701398485003,1.8096504209867537,-0.22311751020603374,0.5062972292191436,394.6081031547483,0.19730405157737416
Regression_Long_Top_Pct (long_pct=0.1),0.3837607654586608,0.22914864993152606,0.11314929547346493,2.0251884819315076,2.9104687860101777,-0.0825441976667197,0.5818639798488665,195.46492558608952,0.09773246279304476
Regression_Long_Top_Pct (long_pct=0.2),0.37245261582730005,0.22275856581826714,0.1204336648626745,1.8496370269249007,2.685261711790159,-0.08131966807302135,0.5768261964735516,170.9820945369336,0.0854910472684668
Regression_Long_Top_Pct (long_pct=0.3),0.40424571367346895,0.2406761272578204,0.12631625070291147,1.9053457169487777,2.82844299834477,-0.09659172040883027,0.5591939546599496,150.20596918313677,0.07510298459156839
"Regression_Long_Short (long_pct=0.2, short_pct=0.2)",-0.218297357629742,-0.14481878712935214,0.06896889889917185,-2.099769453200464,-2.3993580532710723,-0.24445276523931206,0.45591939546599497,173.70672243331364,0.08685336121665682
"Regression_Long_Short (long_pct=0.1, short_pct=0.1)",-0.2889706431148692,-0.19477660469113411,0.10634812011428989,-1.8315002134669816,-1.8161362005112591,-0.32934855827180143,0.47858942065491183,192.96064954817712,0.09648032477408856
Regression_Quantile_Spread,-0.218297357629742,-0.14481878712935214,0.06896889889917185,-2.099769453200464,-2.3993580532710723,-0.24445276523931206,0.45591939546599497,173.70672243331364,0.08685336121665682
Regression_Threshold_Long (threshold=0.0),0.5029780311752541,0.2953984995285215,0.14774354146353127,1.9994004245622952,3.091475173288185,-0.12277414533124872,0.5440806045340051,21.869774985231967,0.010934887492615984
Regression_Threshold_Long (threshold=0.005),0.49391881196212073,0.29043323484419625,0.14726992877868542,1.9721149949128722,3.0461203777835317,-0.12247244835636237,0.5440806045340051,24.794922919434974,0.012397461459717487
