config_name,description,hidden_size,num_layers,n_features,n_params,n_stocks,train_samples,val_samples,test_samples,samples_per_param,accuracy,zero_rule_baseline,accuracy_lift,f1_macro,f1_weighted,mcc,class_0_acc,class_1_acc,class_2_acc,confusion_matrix,best_val_loss,epochs_trained
large_2l,"Large (v10 default): 128 hidden, 2 layers",128,2,108,332804,50,78523,16955,19233,0.23594367856155576,0.4110123225705818,0.40466905838922684,0.006343264181354946,0.25251651254378155,0.27903792414895345,0.05717862993906124,0.005581535676572635,0.11035054967848994,0.9425671334960812,"[[37, 341, 6251], [15, 532, 4274], [40, 407, 7336]]",1.0336536910955056,17
medium_2l,"Medium-2L: 64 hidden, 2 layers",64,2,108,103044,50,78523,16955,19233,0.7620336943441637,0.4120002079758748,0.40466905838922684,0.007331149586647934,0.267614236556134,0.2897364043356702,0.0654055094442379,0.003922160205159149,0.15660651317154117,0.9177694976230245,"[[26, 512, 6091], [14, 755, 4052], [23, 617, 7143]]",1.038942699325503,9
medium_1l,"Medium-1L: 64 hidden, 1 layer",64,1,108,69764,50,78523,16955,19233,1.1255518605584542,0.4108043466957833,0.40466905838922684,0.006135288306556463,0.286162005435551,0.30484245399834814,0.06665157051270744,0.01614119776738573,0.2005807923667289,0.8771681870743929,"[[107, 699, 5823], [44, 967, 3810], [125, 831, 6827]]",1.039826106617353,13
small_1l,"Small: 32 hidden, 1 layer",32,1,108,28868,50,78523,16955,19233,2.720070666481918,0.40700878698071025,0.40466905838922684,0.002339728591483403,0.26985572718421363,0.29032175726473897,0.05698478585153669,0.0018102277869965304,0.1804604853764779,0.8924579211101118,"[[12, 716, 5901], [5, 870, 3946], [15, 822, 6946]]",1.0377049346548095,11
