Strategy,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Daily Win Rate
Buy_Hold_Universe,0.4769636022154877,0.28088249113598485,0.10679521800215323,2.6301036356358356,3.689523533892341,-0.0987414752898086,0.5919395465994962
Random_Allocation_[5],0.36960062596391285,0.22096852740066097,0.13098186477699167,1.6870161970657513,2.480077083949383,-0.11941301162542527,0.5465994962216625
Long_Top_N_[3],0.534289351908972,0.3122199328078614,0.18561784801880724,1.6820577123393143,2.6315667999441326,-0.13515884719280355,0.5642317380352645
Long_Top_N_[5],0.43809657360264054,0.2593825020215177,0.1544770868303246,1.6791001652330464,2.425207223500906,-0.1262373150759394,0.5617128463476071
Long_Short_Neutral_[3],0.2649625697473039,0.16090022917352642,0.17399231396200215,0.9247548096214475,1.5586732601440523,-0.14794928477141925,0.4634760705289673
Threshold_Long_[0.6],0.0,0.0,0.0,0.0,0.0,0.0,0.0
Threshold_Long_[0.7],0.0,0.0,0.0,0.0,0.0,0.0,0.0
