feature,importance_mean,importance_std,rank,selected,gini_importance
sent_count_log,0.006139524861333817,8.620786079419428e-05,1,True,0.12953418880915224
sent_strength,0.00559181901080707,0.0001170180350944102,2,True,0.14237495260962754
sent_mean,0.004983033197437236,0.00012676859088053155,3,False,0.13591611927138303
sent_surprise,0.004291314150753328,8.048350464847489e-05,4,False,0.13047189745269544
sent_std,0.0036163103627081306,3.829361401834054e-05,5,False,0.11024976402600592
sent_ema_5d,0.0029999991159182114,4.039035954099257e-05,6,False,0.11748092937846522
sent_momentum_3d,0.002869108863447034,4.55883245623053e-05,7,False,0.12095986853673767
sent_ema_20d,0.00238773976388153,3.576099932255925e-05,8,False,0.11301227991593298
